First Author Last Name,Year of Publication,DOI,Main Focus of the Research,Key Findings,Photovoltaic Cell Technology,Efficiency (%),Short-Circuit Current (A),Short-Circuit Current Density (mA/cm²),Open-Circuit Voltage (V),Fill Factor (%),Absorber Material,Front Surface Morphology,Rear Surface Morphology,Front Surface Passivation,Rear Surface Passivation,Negative Polarity Contact Type,Positive Polarity Contact Type,Negative Polarity Metallization,Positive Polarity Metallization
Tang,2020.0,10.1016/j.solmat.2020.110712,Optimization of rear surface roughness and metal grid design in industrial bifacial PERC solar cells,22.75% has been achieved for 9BB bifacial pN/ASi PERCs with nearly planar rear surface.,Bifacial PERC,22.75,,40.66,0.667,80.83,pN/Atype CA Si,Textured,Textured,SinX/SiO2,AlOx/SiNx,Heterojunction,Heterojunction,Ag,Al
Tao,2016.0,10.1002/pip.2739,Introduces the implementation of carrier selective tunnel oxide passivated rear contacts on n-type c-Si solar cells,Excellent rear surface passivation was achieved and there is a good thermal durability. The cell also has high performance capabilities. ,TOP Si cells,21.2,,39.66,0.6834,78.1,n-Si,Textured,Planar,Al2O3/SiNx,SiO2,Homojunction,Homojunction,Screen-printed Metal,Ag
Tian Gao,2019.0,https://doi.org/10.1016/j.solmat.2019.109926,,,,24.9,,40.91,0.7252,83.92,Monocrystalline,Textured - With Coating(s),Textured - With Coating(s),,,,,Ag,Ag
Tina,2021.0,10.1016/j.apenergy.2020.116084,Comparative analysis of monofacial and bifacial photovoltaic modules for floating power plants through simulation.,"Bifacial floating PV systems can achieve higher energy yields compared to monofacial floating systems, with gains depending on location and albedo. Optimized geometrical configurations (tilt angle, pitch, module elevation) enhance the performance of floating PV systems. Floating PV systems generally show energy gains compared to groundN/Amounted systems due to cooling effects.",Monofacial and Bifacial,,,,,,,,,,,,,,
Ullah,2022.0,https://doi.org/10.3390/en16020715,The article focues on contact selectivity as a way to improve the power conversion efficiency of c-Si cells,A passivated rear contact lead to an improvemnet of the PCE. There is a high fill factor and the full area rear contacts in TOPCon cells are more effeienct than partial rear contacts. ,TOPCon/ Si cells,25.7,,42.5,0.725,83.3,Si,Both (depend on the cell type),Planar,Si,Si,Homojunction,Homojunction,Metal Fingers,Ag
Umishio,2020.0,https://doi.org/10.1002/pip.3368,Nanocrystalline-silicon hole contact layers enabling efficiency improvement of silicon heterojunction solar cells: Impact of nanostructure evolution on solar cell performance,Explored the impact of boron-doped hydrogenated nanocrystalline silicon ((p)nc-Si:H) hole contact layers with varying thicknesses on SHJ solar cell performance. Optimized (p)nc-Si:H layers deposited by VHF-PECVD showed potential for high efficiency. A best efficiency of 23.54% was achieved using a (p)nc-Si:H hole contact layer at the front.,Silicon heterojunction (SHJ) solar cells,23.54,0.158 (calculated from 4 cm2)),39.48,0.733,81.4,textured c-Si,Textured,Textured,a-Si:H(i),a-Si:H(i),Heterojunction,Heterojunction,Ag,Ag
Wang,2021.0,https://doi.org/10.1016/j.solener.2021.04.031,Influence of the textured pyramid size on the performance of silicon heterojunction solar cell,"Studied the impact of different textured pyramid sizes (large, medium, small) on the performance of SHJ solar cells. Found that medium-sized pyramids resulted in the best overall performance with a peak efficiency of 23.26%.",Silicon heterojunction (SHJ) solar cells,23.26,,38.3,0.695,87.2,n-type c-Si,Textured,Textured,a-Si:H,a-Si:H,Heterojunction,Heterojunction,Ag,Ag
Wang,2020.0,https://doi.org/10.1002/pip.3839,"Comparing the different passivated contact layers of PERC, TOPCon, and SHJ solar cells","TOPCon structure that has high passivation performance and optical performance is the best option for the bifactor solar cell and has the highest theoretical limiting efficiency with metal shading on the n-type silicon wafer reaching 27.62%. SHJ has the best passivation performance, but has parasitic absorbtion of the a-Si:H layer and high contact resistivity. ","TOPCon solar cells, PERC cells, and SHJ cells","I-V parameters: 
TOPCon - 25.87%, 
PERC - 25.67%, 
SHJcell - 23.59%",,"TOPCon = 41.59
PERC = 41.16
SHJ = 39.99","TOPCon = 0.728
PERC = 0.696
SHJ = 0.748","TOPCon = 85.45
PERC = 82.37
SHJ = 85.83",Si (n-type),Textured,Planar,B-diffused p++,SiOx -n+ -poly-Si,Homojunction,Homojunction,Ag,Ag
Wang,2025.0,https://doi.org/10.1016/j.solmat.2025.113526,Impact of laser-enhanced contact optimization on n-TOPCon solar cells,"Laser-enhanced contact optimization (LECO) with specific sintering temperature, laser power, and reverse voltage significantly enhanced the efficiency of n-TOPCon solar cells, achieving a maximum efficiency of 25.97%",TOPCon solar cells with LECO,25.97,14.07,42.05,0.732,84.42,n-type Cz-Si,Textured,Planar,Al2O3/SiNx,SiOx/n+poly-Si/SiNx:H,Homojunction,Homojunction,Ag,Ag
Wang,2023.0,https://doi.org/10.1016/j.solmat.2023.112458,High-efficiency n-TOPCon bifacial solar cells,Poly-Si passivating contacts yielding 0.12% efficiency increase primarily due to Jsc improvement,Bifacial TOPCon solar cells,25.4,13.97,42.2,0.721,83.5,n-type Cz-Si,Textured,Planar,AlOx/SiNx,SiOx/n+-poly-Si/SiNx:H,Homojunction,Homojunction,Ag,Ag/Al
Wang,2020.0,https://doi.org/10.1016/j.solmat.2020.110423,Influence of SiOx film thickness on electrical performance,"The 1.55 nm thick SiOx tunnel layer resulted in the best performance, achieving an efficiency of 22.43% due to excellent passivation and low contact resistivity",TOPCon solar cells,22.43,9.83,40,0.689,81.35,n-type Cz-Si,Textured,Planar,AlOx,SiOx/p-poly-Si/SiNx,Homojunction,Homojunction,Ag,Ag/Al
Wang,2015.0,10.1016/j.egypro.2015.06.150,Bifacial photovoltaic systems energy yield modelling for various setup and installation conditions.,"Energy yield for bifacial modules is highly locationN/Adependent and influenced by mounting height, tilt angle, and ground reflectance. Higher elevation above the ground generally leads to maximum energy yield. Ground reflectance is a key parameter for bifacial module performance.",Bifacial,,,,,,Multicrystalline Si,,,,,,,,
Wangchao Wan,2024.0,https://doi.org/10.1016/j.solmat.2024.113068,,,,24.73,,41.06,0.7227,83.39,Monocrystalline,Textured - No Coating,Planar - With Coating(s),,,,,Ag,Ag/Al
Wei,2016.0,10.1016/j.egypro.2016.07.511,Development and performance evaluation of glassN/Aglass modules using nN/Atype bifacial solar cells with PERT structure.,GlassN/Aglass modules using nN/Atype bifacial PERT solar cells exhibit excellent antiN/APID and low LID performance. Outdoor experiments showed significant power output gains for bifacial modules compared to monofacial modules on sand (15%) and snow (30%).,Bifacial PERT,20.2,,38.6,0.654,80,nN/Atype CZ Si,Random pyramids,DoubleN/Asides HN/Apattern,Thermal Oxide/PECVD Silicon Nitride,Thermal Oxide/PECVD Silicon Nitride,Homojunction (emitter),Homojunction (BSF),AgN/AAl,Ag
Wenhao Chen,2024.0,https://doi.org/10.1016/j.mssp.2023.107874,,,,25.13,,41.33,0.7228,84.11,Monocrystalline,Textured - With Coating(s),Planar - With Coating(s),,,,,Ag,Ag/Al
Wu,2024.0,10.1038/s41586-024-08110-8,Silicon heterojunction back-contact solar cells by laser patterning,"Developed silicon heterojunction back-contact (HBC) solar cells achieving over 27% power conversion efficiency by focusing on dense passivating contacts, laser patterning without damage, and undercut control. An efficiency of 27.0% was simulated with optimized parameters.",Silicon Heterojunction Back-Contact (HBC),26.93 (experimental),Not reported,Not reported,Not reported,Not reported,n-type Czochralski monocrystalline Si,Textured,Not applicable (back-contact),i:a-Si:H/SiNx/SiOx,p-i:a-Si:H,Heterojunction,Heterojunction,Ag,Ag or Cu
Wu,2024.0,https://doi.org/10.1016/j.solmat.2024.112846,Investigating the impact of laser-assisted firing techniques (specifically the Jolywood Psecial Injected Metallization- JSIM -method) on TOPCon cells. ,The cells that undergo laser firing have an enhanced reliability and corrosion resistance. This is due to the lack of Al. There is also a note of cost-efficiecny using this method of synthesizing cells using the JSIM method. ,TOPCon cells,"Baseline = 25.0 ± 0.1
JSIM = 25.1 ± 0.2",,"Baseline = 41 ± 0.1
JSIM = 41 ± 0.1","Baseline = 0.7232 ± 0.0002
JSIM = 0.7233 ± 0.0003","Baseline = 82.9 ± 0.3
JSIM = 83.2 ± 0.4",Si,Textured,Planar,SiOx,n+ poly-Si,Homojunction,Homojuction,"Baseline = Ag/Al
JSIM = Ag",Ag
Wu,2024.0,https://doi.org/10.1016/j.solmat.2024.112846,Laser-enhanced contact firing for TOPCon reliability,Investigated laser firing to improve TOPCon reliability.,TOPCon solar cells,25.1,13.58,41,0.723,83.2,c-Si,Textured,Planar,Al2O3/SiNx/SiOyNz,SiOx/n+-poly-Si,Homojunction,Homojunction,Ag,Ag
Wu,2022.0,https://doi.org/10.1002/aenm.202200821,27.6% Perovskite/c-Si Tandem with industrial TOPCon,Certified efficiency of 27.6% achieved.,Perovskite/c-Si tandem solar cell (TOPCon bottom),27.63,19.68,19.68,0.681,78.27,c-Si,Planar,Textured,Al2O3/SiNx,SiOx/n+-poly-Si,Homojunction,Homojunction,Au,Au
Xin Liu,2024.0,https://doi.org/10.1016/j.solener.2024.112448,,,,25.17,,41.19,0.7193,84.95,Monocrystalline,Textured - With Coating(s),Planar - With Coating(s),,,,,,
Xu,2025.0,10.1002/smll.202410492,In‐Situ Hydrogenation Strategies on Vanadium Oxide Hole‐Selective Contact for Efficiency Crystalline Silicon Solar Cells,"Investigated in-situ hydrogen plasma treatment (HPT) on vanadium oxide (V2Ox) as a hole-selective contact for p-Si solar cells. HPT improved the passivation and contact properties of V2Ox, leading to enhanced photovoltaic performance. A simulated PCE of 24.4% was estimated with optimized passivation and contact parameters.",Crystalline Silicon (c-Si),Simulated 24.4,Not reported,Not reported,Not reported,Not reported,p-Si,Textured,Planar (rear contact),Not reported (front likely SiO2 or similar),Hydrogen plasma treated V2Ox,Homojunction (front n+ emitter),Hole-selective contact (V2Ox heterojunction),Ag (front),Ag (rear)
Xu,2022.0,https://doi.org/10.1016/j.solmat.2022.111606,High efficiency TOPCon with micronano-structured emitter,"23.79% PCE, J0e ‚â§ 36.7 fA/cm¬≤, Jsc ‚â• 41.44 mA/cm¬≤.",Bifacial TOPCon solar cells,23.79,10.46,41.51,0.7,81.86,n-type Cz-Si,Textured,Planar,Al2O3/SiNx,SiOx/n+-poly-Si,Homojunction,Homojunction,Ag,Ag
Yan,2016.0,10.1016/j.solmat.2016.03.033,Demonstration of polyN/ASi (p+)/SiOx contacts for crystalline silicon solar cells based on boronN/Adiffused amorphous silicon.,PolyN/ASi (p+)/SiOx contacts formed by boron diffusion into PECVD aN/ASi layers on thin SiOx achieve low recombination current and contact resistivity. Optimized aN/ASi thickness and diffusion temperature lead to J0 values of 16N/A30 fA/cm2 and ?c of ~8 m? cm2.,Polysilicon/SiOx Heterojunction,25.1,,,,,pN/Atype FZ Si,,,Chemical SiOx; Thermal SiOx; SiNx/SiOx,Chemical SiOx; Thermal SiOx; SiNx/SiOx,Heterojunction,Heterojunction,Ag,Ag
Yang,2016.0,10.1002/adma.201600926,"To develop and analyze TiO2 based electron selevtive contacts for c-Si cells that are cost-effective, low in cost, and thermally stable. ",The TiO2 contacts showed improved efficiency and advanced even further with SiO2 and TiO2 as the contact. The double stack of SiO2/TiO2 is more thermally stable at higher temperatures.,c-Si solar cells,"Al - 17.6
TiO2/Al - 19.8 
SiO2/TiO2/Al - 21.6 ",,"Al - 38.5
TiO2/Al - 39.2 
SiO2/TiO2/Al - 39.6","Al - 0.585
TiO2/Al - 0.638 
SiO2/TiO2/Al - 0.676","Al - 78.2
TiO2/Al - 79.1  
SiO2/TiO2/Al - 80.7",c-Si,Textured,Planar,Al2O3/SiNx,SiO2/TiO2,Homojunction,Homojunction,Cr/Pd/Ag,Al/Ag
Yang,2021.0,https://doi.org/10.1002/solr.202100644,Poly-SiNx passivating contact with 745 mV implied Voc,Excellent implied Voc of 745 mV and low J0 of 2.9 fA/cm¬≤.,TOPCon solar cells,23.88,0.166,41.57,0.696,82.58,c-Si,Textured,Planar,AlOx/SiNx,poly-SiNx,Homojunction,Homojunction,Ag,Cr/Pd/Ag
Yang,2016.0,10.1016/j.solmat.2016.01.020,Investigation of silicon heterojunction solar cells with electron selective TiOx contact.,Ultrathin ALDN/ATiOx films provide good passivation to nN/Atype silicon surfaces and allow relatively low contact resistivity. NN/Atype silicon heterojunction solar cells with fullN/Aarea electronN/Aselective TiOx contacts achieved 20.5% efficiency.,Silicon Heterojunction,20.5,,39.5,0.65,80,nN/Atype FZN/ASi,Textured,,Al2O3/SiNx,TiOx/SiO2,Heterojunction (TiOx/SiO2),Heterojunction (Boron diffused),Al/Ag,Cr/Pd/Ag (front)
Yang,2015.0,10.1016/j.solmat.2015.03.026,Passivated contacts to laser doped p and n regions,SiO2/aN/ASi:H stacks are trialed as passivated contacts to laser doped p and n regions. IBC device with 23% efficiency can be achieved using obtained experimental resutls,PassivatedN/Aemitter rear locally diffeld cells (PERL),23,,,,,,,,,,,,,
Ye,2019.0,10.1016/j.solmat.2018.10.002,Optimization of phosphorus dopant profile of industrial pN/Atype mono PERC solar cells using a threeN/Astep diffusion.,"A threeN/Astep phosphorus diffusion process combined with selective emitter by etchN/Aback reduces AgN/ASi contact resistance and maintains low J0 of the emitter, leading to improved cell efficiency (champion cell 22.61%).",PERC,22.61,,40.54,0.6844,81.49,pN/Atype Cz Si,Textured,Polished,SiNx,AlOx/SiNx,Homojunction (emitter),Homojunction (BSF),AgN/ASi,AlN/ASi
Yifeng Chen,2019.0,https://doi.org/10.1002/pip.3180,,,,23.57,,40.14,0.7167,82,Monocrystalline,Textured - With Coating(s),Textured - With Coating(s),,,,,Ag,Ag
Yin,2021.0,10.1016/j.solener.2021.02.004,Comparison of IV parameters and field performance of different bifacial module structures to understand factors dominating energy gain.,"Glass/glass bifacial modules with bifacial PERC cells provide over 6% more energy yield than glass/backsheet monofacial modules. A reflective coating on the rear glass can increase the energy yield gain of bifacial modules to above 10%, even with reduced bifaciality factors. Enhancing the frontN/Aside output power of bifacial modules produces more benefits.",Bifacial PERC,20.8,9.14,,32.11,,pN/Atype Si,Textured,Open metallization grid,SiN,,Homojunction (emitter),Homojunction,Ag,Al
Ying-Yuan Huang,2020.0,https://doi.org/10.1016/j.solmat.2020.110585,,,,22.6,,40.3,0.702,79.7,Monocrystalline,Textured - With Coating(s),Planar - With Coating(s),,,,,Ag,Ag/Al
Yousuf,2021.0,https://doi.org/10.21218/CPR.2021.9.3.075,"Describing the development, optimization, and properties of the TOPCon structure as the superior structure for high-efficiency solar cells. ","N/A as this is a Review article, useful for background information and numbers. Not necessarily a ""find a problem and fix it"" type of paper",TOPCon,"Varied, but the largest efficiency from table 1 and the respective other values listed here: 
27.60%",,43.25,0.747,85.42,n-Si,Textured,Planar,Al2O3/SiNx/MgF2,Ultra Think Tunnel Oxide (SiO2),Heterojunction,Heterojunction,Ti/Pd/Ag,
Yu,2023.0,https://doi.org/10.1038/s41560-023-01388-4,Industrial-scale deposition of nc-SiOx:H for 26.4%-efficient SHJ solar cells with copper electrodes,Certified 26.41% PCE on M6 bifacial SHJ cells with Cu-plated electrodes using VHF PECVD for nc-SiOx:H(n),Silicon heterojunction (SHJ) solar cells,26.41,11.21 (calculated from 274.7 cm2),40.8,0.7502,86.28,n-type c-Si,Textured,Textured,i-a-Si:H,a-Si:H(i),Heterojunction,Heterojunction,Cu,Cu
Yu,2023.0,10.1016/j.solmat.2022.112057,Process challenges of high-performance silicon heterojunction solar cells with copper electrodes,Achieved 23.35% efficiency with copper-plated electrodes on M2 wafers; identified adhesion and parasitic plating challenges,Silicon heterojunction (SHJ) solar cells,23.35,Not stated,Not stated,Not stated,Not stated,n-type c-Si,Random pyramid surface texture (textured),Random pyramid surface texture (textured),i-a-Si:H,i-a-Si:H,Heterojunction,Heterojunction,Cu,Ag/Cu
Yu,2024.0,https://doi.org/10.1016/j.nanoen.2024.109556,Low-temperature a-Si:H(B) passivating contact,Studied low-temperature fabrication of a-Si:H(B) for hole contact.,Bifacial TOPCon solar cells,24.5,,42.03,0.696,83.76,n-type Cz-Si,Textured,Textured,a-Si:H(B)/AlOx/SiNx,SiOx/n+-poly-Si,Homojunction,Homojunction,Ni/Pd/Ag,Ag
Yu,2016.0,10.1016/j.solener.2016.08.011,Study on electrical performance of NN/Atype bifacial PV modules with transparent backsheet through outdoor testing.,NN/Atype bifacial PV modules with transparent backsheet show significantly higher energy output than regular monofacial modules in micro inverter and string inverter PV systems under different weather conditions. The average monthly energy output gain for bifacial modules was 4.03% (micro inverter) and 3.21% (string inverter) higher.,Bifacial NN/Atype,24,,,,,NN/Atype cN/ASi,Textured,Open metallization grid,SiO2/SiNx stack,SiO2/SiNx stack,Heterojunction,Heterojunction,Ag/Al,Ag
Yu Ding,2024.0,https://doi.org/10.1016/j.solener.2024.112862,,,,22.56,,40.73,0.6636,83.48,Monocrystalline,Textured - With Coating(s),Planar - With Coating(s),,,,,Al,Ag/Al
Yuan,2024.0,10.1016/j.solmat.2024.112836,Study on the process of hydrogen-doped indium oxide for silicon heterojunction solar cell mass production,"Investigated the impact of hydrogen doping in indium oxide (IWO) films using H2 and H2O processes on the performance of SHJ solar cells. The H2 process resulted in slightly higher efficiency (25.43%), short-circuit current density (39.96 mA/cm2), and fill factor (85.19%) compared to the H2O process.",Silicon Heterojunction (SHJ),25.43 (H2 process),Not reported,39.96 (H2 process),Relatively consistent between the two processes,85.19 (H2 process),N-type Czochralski monocrystalline silicon,Textured,Textured,i-a-Si:H,i-a-Si:H,Heterojunction,Heterojunction,IWO,IWO
Zhang,2018.0,https://doi.org/10.1016/j.solmat.2018.07.025,Carrier transport through ultrathin SiOx in TOPCon,Studied carrier transport mechanisms using simulations.,TOPCon solar cells,21.12,0.155,38.78,0.677,80.5,n-type Cz-Si,Textured,Planar,Al2O3/SiNx,SiOx,Homojunction,Homojunction,Ag,Ag
Zhao,2023.0,10.1002/pip.3620,Effects of (i)a-Si:H deposition temperature on high-efficiency silicon heterojunction solar cells,Optimization of (i)a-Si:H deposition temperature impacts SHJ cell performance,Silicon heterojunction (SHJ) solar cells,24.18,0.157 (calculated from 3.92 cm2),39.97,0.726,83.3,Likely c-Si,Likely textured,Likely textured,i-a-Si:H,i-a-Si:H,Heterojunction,Heterojunction,Not specified,Not specified
Zhou,2021.0,https://doi.org/10.1007/s00339-021-04883-1,Performance improvement of planar silicon heterojunction solar cells via sandwich-like p-type emitters,Explored the effects of single-layer and multi-layer p-type emitters (boron-doped nc-Si:H and/or nc-SiOX:H) on planar SHJ solar cell performance. A sandwich-like p-nc-Si:H/p-nc-SiOX:H/p+-nc-Si:H emitter achieved a champion efficiency of 19.11%.,Silicon heterojunction (SHJ) solar cells,19.11,,36.6,0.6782,77,n-type FZ c-Si,Planar,Planar,i-a-Si:H,i-a-Si:H,Heterojunction,Heterojunction,Ag,Al
Zuschlag,2015.0,10.1016/j.solener.2017.09.023,3DN/AFIB investigation of Cu precipitates in cN/ASi after high temperature treatments relevant to solar cell processing.,"Transition metal precipitates in silicon are influenced by crystal defects and solar cell processing steps like POCl3 diffusion. During POCl3 diffusion, precipitates dissolve and metals move to regions with higher solubility, leaving voids. Applying only the temperature profile leads to reN/Aprecipitation at the same sites during cool down.",,,,,,,multiN/Acrystalline Si,,,,,,,,
